user address:0xe009A8DC43F4Be935f18A997689b431723d109a8, avarger amount: 4219.2388265045484758, lottery amount:10
user address:0x83f7Bb017b0Ce378dBfbDcB8aeB38173021d9c74, avarger amount: 8.6277815955302613, lottery amount:1
user address:0x276FFb8af57DA846480F14fCdAf3912CDDC5b07f, avarger amount: 8.6260624097625161, lottery amount:1
user address:0x18622F74F06927CACA436B146c9D24DA57A514F5, avarger amount: 8.5808168768500058, lottery amount:1
user address:0x3D2B5723F2C0ce9A9CA3e6d122eB8f6a9272dBa8, avarger amount: 8.4809875602914214, lottery amount:1
user address:0xaC58Aa71114E895AC395cdD0E3391d3eCFFB6fbc, avarger amount: 8.420605685575526, lottery amount:1
user address:0x40Db8365d1252bcb06598927698238a99D39228E, avarger amount: 8.3832489328259238, lottery amount:1
user address:0xA04320b5371Af4D44a7249B468cEd73cE9A08538, avarger amount: 8.3758596707750354, lottery amount:1
user address:0xd0BEa4159cf6466472Eb1271908358943328112e, avarger amount: 8.3622863225972422, lottery amount:1
user address:0x2e868585B53122E187A64f29fDc37Cbc4e8a4163, avarger amount: 8.3516429637161948, lottery amount:1
user address:0x7ce5215a0831952B1d0587eE40DF1BF360e0a554, avarger amount: 8.341644948327938, lottery amount:1
user address:0x10C38452B23C94f9528Ce3527bd0a73D845d0cE9, avarger amount: 8.2792389168095534, lottery amount:1
user address:0xf9Ebb27f0d246a63AC7F42C56b980a1241Ae130B, avarger amount: 8.1412108159406672, lottery amount:1
user address:0x5edF9E83a4755E20413fdaCf3f5309F945cfBc92, avarger amount: 8.0638077931418309, lottery amount:1
user address:0x9729334ADD4fE99D116E689Ba11EC34e6C214A72, avarger amount: 8.0300994789315063, lottery amount:1
user address:0x7770C101f146D479F85466E5BA3c16a131d08AB5, avarger amount: 7.8955580174288271, lottery amount:1
user address:0x28e5d92148aA12b0fCcd268ff643bE86Bbb5265e, avarger amount: 7.8920092110812092, lottery amount:1
user address:0x6a98342BC52B17398C2e500B46178F6E9Cf49488, avarger amount: 7.7641086387497359, lottery amount:1
user address:0x46a4E8a1F64a9D2aE94d6E16a50106Ece6ED92c7, avarger amount: 7.6157792425266041, lottery amount:1
user address:0xeaC8D3821598B6Bd9675695fc878Ad6e0Ef92F57, avarger amount: 7.578705531461461, lottery amount:1
user address:0x140BaE15B336482BACc5C56742CA8FFA87e75AfE, avarger amount: 7.5154358256695314, lottery amount:1
user address:0x36A0E8C63E14223492Ff5687B0Db557427b58108, avarger amount: 7.509683625634069, lottery amount:1
user address:0x1005e511f3430117aE6a538d48Bd2409401ad6a0, avarger amount: 7.4892625483507277, lottery amount:1
user address:0x970B206F3bFb86f06581BBEC04DD2e703266fE84, avarger amount: 7.4378706841988029, lottery amount:1
user address:0x031543014965F071bc5283D4f74AAF615F15D510, avarger amount: 7.3969935951626266, lottery amount:1
user address:0x124a140C07b0E18c338cA68be7572296A801Db5d, avarger amount: 7.3873904191951934, lottery amount:1
user address:0xc4Ed448E7D7bdD954e943954459017BE63584F69, avarger amount: 7.3655895906734648, lottery amount:1
user address:0xd7A12814E14c99bbdbBB11f3E274a46eeB68881d, avarger amount: 7.3179068006681163, lottery amount:1
user address:0x5241aa99a776866296D1d695C02bB2E31B3Ff998, avarger amount: 7.2031221340337219, lottery amount:1
user address:0x1dC24e9601e40013a12CB9976a519860c4eDF359, avarger amount: 7.1675278791141599, lottery amount:1
user address:0x48812165fda89043126Bd3Dd4BdBc1C8316d4550, avarger amount: 7.0877306881802589, lottery amount:1
user address:0x9760f469e5D62CA69444B775e561EFDa2bb7Fd5b, avarger amount: 7.063400647994383, lottery amount:1
user address:0x83587dfc8Cdafb76aB892a939cD329ACeb751b1d, avarger amount: 6.9498350651089447, lottery amount:1
user address:0x2a742Ea8818CACcD365f8891C97E58d520371C2C, avarger amount: 6.9225218372035525, lottery amount:1
user address:0xcfb863210Cb4e071ebAF9E79A943b890Cd8561a6, avarger amount: 6.9200755098626009, lottery amount:1
user address:0x1bDd774E92980646Bf46c4F21ddade4eF90085Fa, avarger amount: 6.9152178469505993, lottery amount:1
user address:0xf452E738E496BF08d8F96A875Da712dFbCA7Af36, avarger amount: 6.9083572321215512, lottery amount:1
user address:0x4eBBbFF7E4FB62CD751c9402d10a67Fd763eF825, avarger amount: 6.7848182194787045, lottery amount:1
user address:0x27B0FC6C4A5a0Cf213a570097279a5bde61214d2, avarger amount: 6.7635986079694421, lottery amount:1
user address:0xE02720bA5e8c81932E986AA8cd95f016E6f4E13C, avarger amount: 6.7576888359645728, lottery amount:1
user address:0x53F5BF4e9F9FC8eBD715876454B82d148Eb24a4A, avarger amount: 6.6955517960338489, lottery amount:1
user address:0x35668F1096708A2ce1bAB8bEcdEFceb502aD1D19, avarger amount: 6.6869620187751433, lottery amount:1
user address:0x5f198fe05A0dCABc31490e02836F7265CAa9a060, avarger amount: 6.6325894291999342, lottery amount:1
user address:0x94953df305Cb2A81F32343d0cc15D79E22E2c5D1, avarger amount: 6.589446263724429, lottery amount:1
user address:0x2D90eA46080DeEE922A0D0994330e3da68F62C24, avarger amount: 6.5072606326315944, lottery amount:1
user address:0x8e5aca0D1104AB1a1F423dB05BD254E837078Da4, avarger amount: 6.4958375832336137, lottery amount:1
user address:0x14267bCBAD45C65A4c803469841844Aafc4C0E9F, avarger amount: 6.4355769493416483, lottery amount:1
user address:0xF53c20708E9Dbc2fb6798Cd8A6F78DA4df4d6F78, avarger amount: 6.4237818028699611, lottery amount:1
user address:0x0edEFA91e99da1eDDD1372c1743A63B1595fC413, avarger amount: 6.293917609586499, lottery amount:1
user address:0x0CaE615650cff36b4D6cBD6e52dB6F3A969285fa, avarger amount: 6.2349298337149345, lottery amount:1
user address:0x3a8475547B8c51aB55B1C936df0dF69307AD1128, avarger amount: 6.1621262295714772, lottery amount:1
user address:0xEd09c53f4c6EE0adDf39cD40FF8f236810bAc7DD, avarger amount: 6.1405340613900675, lottery amount:1
user address:0xF84Bfa23C2ab766c47056011b26E2D12ade5C754, avarger amount: 6.1254909556491577, lottery amount:1
user address:0x23baEeC99c8C9BE9496FD6006a5dA6dfA0705e03, avarger amount: 6.0847334613835438, lottery amount:1
user address:0xC20197945F73309a6C520b0De411e14c15d4bb43, avarger amount: 5.9892358999566492, lottery amount:1
user address:0xf3196B09648f0Ff56F31f52601Bf37AaEF6f875F, avarger amount: 5.9837989702477543, lottery amount:1
user address:0x0284b0aC275F843397d1Dba9A012652D1A29EeB6, avarger amount: 5.9628803392972098, lottery amount:1
user address:0x871DBc800563f03bC58a88f699a6b28B7d33BFB7, avarger amount: 5.9498031862782953, lottery amount:1
user address:0x2B1b4D9b1d43365fc7460243c81664487d0D940D, avarger amount: 5.9490224902908489, lottery amount:1
user address:0x9aF906c01f75154dd3402dfa441C7a4251C3201F, avarger amount: 5.9320134922361114, lottery amount:1
user address:0xB0ad64FBB0694c22cfB6E95374DF0e70bc9713a3, avarger amount: 5.9319479717558003, lottery amount:1
user address:0x7fDF77E88CbE0815fe6c8F32Cc2C24D81678BD07, avarger amount: 5.9273295831005137, lottery amount:1
user address:0x6C4E5CE0fF38415125E725F7f1C8c8a16fE569e7, avarger amount: 5.9247894091239, lottery amount:1
user address:0x87Da53dFA4c54e6ebF667866Bbca4d7D91685eF8, avarger amount: 5.9178153093110015, lottery amount:1
user address:0xac61b7D3a5D9805EC7Ee0F32ce0bacB3C34f8AA3, avarger amount: 5.9161020737717577, lottery amount:1
user address:0x9faccc6E984c47d2E6ac9bBba6C65f3c65a2952F, avarger amount: 5.8891403977943767, lottery amount:1
user address:0x3D127774339A9db809a0beA58526B1C00a744ebD, avarger amount: 5.8809788693735859, lottery amount:1
user address:0x5b63124006840060898F47A21eB82c019289eAB5, avarger amount: 5.8756913438308283, lottery amount:1
user address:0xd35C25aeD356844572BbBfC02B2cc7D760541CD3, avarger amount: 5.8642054237858461, lottery amount:1
user address:0xd206d50564b39c1128eD39Ea900C30328a4A284F, avarger amount: 5.8568464295682655, lottery amount:1
user address:0x87C474a9Eb269899E20946A28A9ae4138eB1caD5, avarger amount: 5.8522307960173636, lottery amount:1
user address:0xc2163626675Ee9162CD68AAdBcc28D797F3966aF, avarger amount: 5.8408915488295375, lottery amount:1
user address:0x1EEB4AC12a8F599Efde7685b5F19B0062d519592, avarger amount: 5.8353423199281484, lottery amount:1
user address:0xcF2d6767181BA8930c127A00d655196393845b86, avarger amount: 5.8146390517368156, lottery amount:1
user address:0x163D873baD5047154B2e6cdA4Fa13c8D03a171e2, avarger amount: 5.7503224567465567, lottery amount:1
user address:0x1598432d904E073cd17A17420227Ad2A078a26eb, avarger amount: 5.7418877734503742, lottery amount:1
user address:0xf7fe08b81Cf8121e7d79D2D4D56F8b37537B4B20, avarger amount: 5.6981442919614883, lottery amount:1
user address:0xd769c6ABabF1c6e61846F2eca967AB29bfa727c0, avarger amount: 5.6291947168870898, lottery amount:1
user address:0x1BAf386465ff1feAEC967df2b3E2B6af223dc7a2, avarger amount: 5.599258034267527, lottery amount:1
user address:0xb39D077A580d3d318C80fc3FFe23732683a575Ca, avarger amount: 5.5868720870647416, lottery amount:1
user address:0x48952e56D5C72735F1816969f9bc014CC8b18433, avarger amount: 5.5709658744487078, lottery amount:1
user address:0x8Aad7D59B8a03F46d8368Af2EdC3e4578d676863, avarger amount: 5.570177855976339, lottery amount:1
user address:0x6b8db3f109dccf7Cd536c36137E8bC6860dFaE9a, avarger amount: 5.5653195543015284, lottery amount:1
user address:0x8870C3a7144fA301CD260311AfB7f2319B19CD57, avarger amount: 5.5228229180194769, lottery amount:1
user address:0xd56EE5Ba5A52e15f309108BDd6247C69B4F624C2, avarger amount: 5.4998570162291499, lottery amount:1
user address:0x9436a9Cae24d4f6aD52A90F2A4A71C2B8DE15e74, avarger amount: 5.4569618348517414, lottery amount:1
user address:0x032156C88a70552c6489fA7D9b911A3a31D1c061, avarger amount: 5.4495904619934378, lottery amount:1
user address:0xBb92672d2a718Add81545aC41aB3a6Ac39AE4d7d, avarger amount: 5.4192053239715859, lottery amount:1
user address:0xe6f38Bf6330211e81Db0a13B303C4a660c637888, avarger amount: 5.4184914555793671, lottery amount:1
user address:0x1747aA6eA55b397DcCd3536f665bF7E90De4D031, avarger amount: 5.3798643342672876, lottery amount:1
user address:0xb33d01dD954888Ae2FdA24403e64b2e1daD84DFF, avarger amount: 5.3748011344587402, lottery amount:1
user address:0x5573c71aB414986A9bea18e8B6096cFd54934f78, avarger amount: 5.3625176011776989, lottery amount:1
user address:0x9F66D71DEc03999891c037A244032072927D645c, avarger amount: 5.3554345689578041, lottery amount:1
user address:0x62e01ccb9e8ab241F5DeC40E9704DF64c0e65414, avarger amount: 5.338916453259253, lottery amount:1
user address:0x6dB8729A311BA4465340E1a5436193DBd6dd92a4, avarger amount: 5.3317889220590888, lottery amount:1
user address:0x2867e95B56f22442D43750132538D1aB4A0435D5, avarger amount: 5.3206407847470004, lottery amount:1
user address:0xE6E9F19eB9Ab7AC412917c4E3E2268C7ecA524fe, avarger amount: 5.2965401039652395, lottery amount:1
user address:0x672824e59Ccf5eE82ddF0E9F2404dC95F47Be9a2, avarger amount: 5.2906474510236766, lottery amount:1
user address:0x89A3339913d609310185EFa8e2F2665817c66137, avarger amount: 5.2880696913355931, lottery amount:1
user address:0x5A0E1813cf575216f07e0384f646f564476Ee7B1, avarger amount: 5.2805779290008848, lottery amount:1
user address:0x322051ED76f24782640FED50Fe5C9C3b345B3019, avarger amount: 5.2511375289517184, lottery amount:1
user address:0x1397424D3A8D1954AF113764EB003999441A2C44, avarger amount: 5.2367105490133599, lottery amount:1
user address:0x0F71cA78EFa7bc202EcB5d2BB10125F41c7a1911, avarger amount: 5.2244477522168762, lottery amount:1
user address:0x8cD3Bb4FbfDfEE013AF5AC9C46F0C22746b095af, avarger amount: 5.1868415358273533, lottery amount:1
user address:0x5605acf8398d1dAdcda8beC8aECaBD08729bCd95, avarger amount: 5.1779228985012648, lottery amount:1
user address:0xc0f718BDb5B7A522d5f2d9d68A957a362a4F1528, avarger amount: 5.1752659977932055, lottery amount:1
user address:0xc51B69974D372fF89640A1e56Dd9cAbcB1C27027, avarger amount: 5.1744152638866028, lottery amount:1
user address:0x04379CFfC95575CFF92a5884863A26600c0F3ddb, avarger amount: 5.1571016300045769, lottery amount:1
user address:0xd8999DC10C491A955f7ECB2f435B613955307193, avarger amount: 5.143209889441161, lottery amount:1
user address:0x3B82DB62940fFb4d42fafcdD7b4CbEF36334976b, avarger amount: 5.127069736909789, lottery amount:1
user address:0x266BBF6c4E8aad54A224cF1fb259F91D412dF504, avarger amount: 5.1141130567017758, lottery amount:1
user address:0x246A24B84449033b9c9336d688b4515D7f9598c0, avarger amount: 5.1120833514995979, lottery amount:1
user address:0xA5CB591bb7fdCF70E91d8dfaA719be3e33bdD560, avarger amount: 5.1120297573283105, lottery amount:1
user address:0xeC0F9C2cd0D619c83887eC099125651B8a3a3b05, avarger amount: 5.106942508281739, lottery amount:1
user address:0x7744bFe2bc783aB0a4826eF7686353c9f2Fec45E, avarger amount: 5.1, lottery amount:1
user address:0x6249B213cECBE60f9faa45044B07CFCcd567ad4e, avarger amount: 5.0999237996921338, lottery amount:1
user address:0xC0Df9333f5e1F26f530d2Cd9891CcC2aC4d735b2, avarger amount: 5.0985424883512176, lottery amount:1
user address:0xB9F831F19f94f09709cF75C757E5BD7A9a812819, avarger amount: 5.0805735, lottery amount:1
user address:0xe071d6057502E410bbac5516264dAc188BB0e150, avarger amount: 5.0759335722924967, lottery amount:1
user address:0x3a64583aaC8a7A0faCbcD1C380C738662367bE8A, avarger amount: 5.0759335722924967, lottery amount:1
user address:0xd330b174777Abd7e1Fd369d3B2180E0b2097c835, avarger amount: 5.0759335722924967, lottery amount:1
user address:0xf495AcD8CB989e20113f1db3531Ed2205e997DF8, avarger amount: 5.0759335722924967, lottery amount:1
user address:0xcc3400Bb46923285eF8E4D932c5F876164ecF166, avarger amount: 5.0759335722924967, lottery amount:1
user address:0xE462A0089e60d498b937ff75a19254F3e9d922D6, avarger amount: 5.0720528805906094, lottery amount:1
user address:0xBc9AbD9857250D664F5D8963115f21a46156b862, avarger amount: 5.0699576951037756, lottery amount:1
user address:0x17B64570484AAe779d718E727e21A1B05b975Da3, avarger amount: 5.0606291766018395, lottery amount:1
user address:0x8B845fb3b030e238C845b95Ce96F0016bD37D6F9, avarger amount: 5.0597251986595196, lottery amount:1
user address:0x8669D2a4A5C5Ef2c1cB3a0F44C527F9ad73e5d00, avarger amount: 5.0584270378911596, lottery amount:1
user address:0xE5476721db576AD7541389325a03747A8786Aeff, avarger amount: 5.0581031906646162, lottery amount:1
user address:0xf84975C731E88bd46c7017887b66C8e62efCe9A3, avarger amount: 5.0512736859036529, lottery amount:1
user address:0xB52f5bC40e10D433f2660226d64d90C9b8A5317b, avarger amount: 5.0500000086511031, lottery amount:1
user address:0x6A6166d395Fe11c71936e5Ebf56E723862DD845E, avarger amount: 5.05, lottery amount:1
user address:0x081374C43e115293Fc13dA30D42110AD5b9608Af, avarger amount: 5.05, lottery amount:1
user address:0x83b2877643008a1fEE86D65bFCE5f9615C9d9d2c, avarger amount: 5.05, lottery amount:1
user address:0x5B6ac085d82017e6d0B42E8D06eea646a79A9276, avarger amount: 5.0489450676004579, lottery amount:1
user address:0xBbE8b45Aea6620fD1F85DA6e03B957d58885dE3e, avarger amount: 5.0476297641666197, lottery amount:1
user address:0x6E9fdf23c29e5Fa1a49fDfD7C8Be3c9F2e99eAf4, avarger amount: 5.0463966147953394, lottery amount:1
user address:0x793491fe4A7b25EEE0065e484A52C7A0dfd8C0d9, avarger amount: 5.0463487167826288, lottery amount:1
user address:0x0FbCad871dF293d23502E79A38d804e847cdc304, avarger amount: 5.0460252822359587, lottery amount:1
user address:0x98B153b5460010564851fdb401fC26843ae74097, avarger amount: 5.0427083200935161, lottery amount:1
user address:0x206830d8A814652edF6e56bdb3c533930d6C953d, avarger amount: 5.0421056460014919, lottery amount:1
user address:0x44451c8417203cf5ae83053d4f855Cd1700D05f5, avarger amount: 5.0410216258324632, lottery amount:1
user address:0xFA88f285dA98D46E96C988a71452d0bba3441Fa5, avarger amount: 5.035390652906235, lottery amount:1
user address:0x2f2B7B085B056c9345cd3950AcCCaEEb57Db4f78, avarger amount: 5.0326067724924676, lottery amount:1
user address:0x39B946e35b3DC215455cc95b446eDd8368928d10, avarger amount: 5.0315393011399601, lottery amount:1
user address:0xc5ac20cFCac10454F41506Dd9293e8Ab29AaEceE, avarger amount: 5.0311558720642709, lottery amount:1
user address:0xeffaeE41a516Ff29c645E596ceF088c7430073f8, avarger amount: 5.0311558720642709, lottery amount:1
user address:0x07911832fcf06Cf678c2d4A5C80ED29d92ddBc4e, avarger amount: 5.0311558720642709, lottery amount:1
user address:0x7d891d7CCF3d246353ec03734B8c166F4Cd8f785, avarger amount: 5.0311558720642709, lottery amount:1
user address:0xcbE2560c51597154E01A6Fc1F529746a89Db0B76, avarger amount: 5.0311558720642709, lottery amount:1
user address:0x11775F5CaBDb6b6bB4E997c6DdF509e155abE7BA, avarger amount: 5.0309103710614014, lottery amount:1
user address:0x24a3f822C48085Ce8a0dc3f1a969639E93F3405a, avarger amount: 5.0309095886084886, lottery amount:1
user address:0xE44e31f68597Ff5A2771b3c32CfA7BB8B211dF95, avarger amount: 5.0307568867245493, lottery amount:1
user address:0xDBEcd62eEe284D1929Fb2ca5E2bD9709Db4b66Df, avarger amount: 5.0306085877084106, lottery amount:1
user address:0x370603Fc4C1A6d100b0EdAeae29468ae2c23F927, avarger amount: 5.0288964550961079, lottery amount:1
user address:0x75e9ebb531cb0c09Ba972f66C23525c8B2926FEc, avarger amount: 5.0276225841693989, lottery amount:1
user address:0x435Cbd7c0096E3c50A922eEE93a098335D288698, avarger amount: 5.025784695642071, lottery amount:1
user address:0x67c273F6BDa97824D5f245233eE4E38BB3Bb45A2, avarger amount: 5.025784695642071, lottery amount:1
user address:0xf3Ab6f5ccBb9C46e6ba6602cea91a4851Df4Fe29, avarger amount: 5.025784695642071, lottery amount:1
user address:0x01484d31eD350DC8B52A40a6215C3bBb88DBE0AB, avarger amount: 5.025784695642071, lottery amount:1
user address:0xd477D50EC8FeBEA75AE7C77E1E779Ba89B27b55F, avarger amount: 5.024427044947479, lottery amount:1
user address:0x0316196C7d2bc1354723D3FbF445F783D8FebE53, avarger amount: 5.0230730828857907, lottery amount:1
user address:0xade10D07CF3700cbdf828A1138bf42dC02b3C92e, avarger amount: 5.0124028209890108, lottery amount:1
user address:0x06Cacea44227d431FFC18859aE0Bb8fA838ed0dc, avarger amount: 5.0120167864050613, lottery amount:1
user address:0x2b0D69e10874bE8D5a79CE6aaF88B2e5C551B6db, avarger amount: 5.006288361289965, lottery amount:1
user address:0xd74eeC932A78233D03Ff03DED4205d05e6f592ec, avarger amount: 5.0026412813240047, lottery amount:1
user address:0x39367cE3A0ad2bdE87BdaF932Aaa76f6bDc1C25e, avarger amount: 5.0019976895445801, lottery amount:1
user address:0x971dC454d50704224C23a304F6FED9C538B4B855, avarger amount: 5, lottery amount:1
